课程编号,课程名,校区,老师,分类,类型,开课学院,学分
B2E333050-11,体育（5）健美操1,学院路校区,朱志萍,体育类,必修,体育部,0.5
B2E333050-1,体育（5）篮球1,学院路校区,邵 山,体育类,必修,体育部,0.5
B2E333050-1,体育（5）篮球1,学院路校区,邵 山,体育类,必修,体育部,0.5
B2E333050-1,体育（5）篮球1,学院路校区,陈 松,体育类,必修,体育部,0.5
B2E333050-1,体育（5）篮球1,学院路校区,陈 松,体育类,必修,体育部,0.5
B2E333050-2,体育（5）排球1,学院路校区,陆 科,体育类,必修,体育部,0.5
B2E333050-3,体育（5）排球2,学院路校区,陆 科,体育类,必修,体育部,0.5
B2E333050-4,体育（5）气排球,学院路校区,黎宇翔,体育类,必修,体育部,0.5
B2E333050-4,体育（5）气排球,学院路校区,黎宇翔,体育类,必修,体育部,0.5
B2E333050-5,体育（5）软式排球1,学院路校区,王民怡,体育类,必修,体育部,0.5
B2E333050-5,体育（5）软式排球1,学院路校区,王民怡,体育类,必修,体育部,0.5
B2E333050-6,体育（5）散打1,学院路校区,王 震,体育类,必修,体育部,0.5
B2E333050-6,体育（5）散打1,学院路校区,王 震,体育类,必修,体育部,0.5
B2E333050-6,体育（5）散打1,学院路校区,王 震,体育类,必修,体育部,0.5
B2E333050-6,体育（5）散打1,学院路校区,王 震,体育类,必修,体育部,0.5
B2E333050-7,体育（5）散打2,学院路校区,周若夫,体育类,必修,体育部,0.5
B2E333050-7,体育（5）散打2,学院路校区,周若夫,体育类,必修,体育部,0.5
B2E333050-8,体育（5）太极拳1,学院路校区,姚建军,体育类,必修,体育部,0.5
B2E333050-8,体育（5）太极拳1,学院路校区,姚建军,体育类,必修,体育部,0.5
B2E333050-9,体育（5）长跑体能,学院路校区,徐文泉,体育类,必修,体育部,0.5
B2E333050-9,体育（5）长跑体能,学院路校区,徐文泉,体育类,必修,体育部,0.5
B2E333050-10,体育（5）足球1,学院路校区,徐 昆,体育类,必修,体育部,0.5
B2E333050-10,体育（5）足球1,学院路校区,徐 昆,体育类,必修,体育部,0.5
B2H513050,博雅课程（文化素质拓展）(5)(全汉语),学院路校区,周其林,暂无,必修,学生处武装部,0.5
B3J063110,数据库系统原理(全汉语),学院路校区,郎 波,一般专业类,选修,计算机学院,3
B3J063860,Android平台开发技术(全汉语),学院路校区,张 炯,一般专业类,选修,计算机学院,2
B3I063410,编译器课程设计(全汉语),学院路校区,张 莉|杨海燕,核心专业类,必修,计算机学院,1.5
B3J063890,MATLAB基础及其应用(全汉语),学院路校区,郑 锦|张永飞,一般专业类,选修,计算机学院,2
B3J063130,软件工程基础(全汉语),学院路校区,罗 杰,一般专业类,选修,计算机学院,2
B3I063110,编译技术(全汉语),学院路校区,史晓华,核心专业类,必修,计算机学院,3
B2E333050-11,体育（5）健美操1,学院路校区,朱志萍,体育类,必修,体育部,0.5
B2G270140,围棋基础（1）(全汉语),学院路校区,薛 峰,一般通识类,选修,化学学院,1
B2F080110,经济管理(全汉语),学院路校区,贾国柱,核心通识类,必修,经济管理学院,2
B2H182010,时事与科技前沿思辨（1）(全汉语),沙河校区,宋晓东,博雅类,必修,北京学院,0.5
B1B03201A,理论力学（A）(全汉语),沙河校区,霍 伟|左宗玉,工程基础类,必修,自动化科学与电气工程学院,4
B1B03202B,模拟电路B(全汉语),沙河校区,吴星明,工程基础类,选修,自动化科学与电气工程学院,2
B1B03203B,数字电路B(全汉语),沙河校区,胡晓光,工程基础类,选修,自动化科学与电气工程学院,2
B1B032040,电工学,沙河校区,徐志跃|范昌波,工程基础类,必修,自动化科学与电气工程学院,3.5
B1B032040,电工学,沙河校区,徐志跃,工程基础类,必修,自动化科学与电气工程学院,3.5
B1B032040,电工学,沙河校区,陈伟海|范昌波,工程基础类,必修,自动化科学与电气工程学院,3.5
B1B032040,电工学,沙河校区,陈伟海,工程基础类,必修,自动化科学与电气工程学院,3.5
B1B032060,电工电子技术(全汉语),沙河校区,刘敬猛,工程基础类,必修,自动化科学与电气工程学院,4.5
B1B032060,电工电子技术(全汉语),沙河校区,吴星明,工程基础类,必修,自动化科学与电气工程学院,4.5
B1B032060,电工电子技术(全汉语),沙河校区,周 强,工程基础类,必修,自动化科学与电气工程学院,4.5
B1B032070,电路分析(全汉语),沙河校区,王建华,工程基础类,必修,自动化科学与电气工程学院,3
B1B032070,电路分析(全汉语),沙河校区,王建华,工程基础类,必修,自动化科学与电气工程学院,3
B1B032080,电工技术(全汉语),沙河校区,崔建宗,工程基础类,必修,自动化科学与电气工程学院,3.5
B1B032080,电工技术(全汉语),沙河校区,崔建宗,工程基础类,必修,自动化科学与电气工程学院,3.5
