课程编号,课程名,校区,老师,分类,类型,开课学院,学分
B3I050511,弹性力学（英文）(全英语),学院路校区,张 彤|孙玉鑫|郭早阳|董雷霆,一般专业类,选修,航空科学与工程学院,3
B3I09311A,微分几何(全汉语),学院路校区,贺慧霞,一般专业类,必修,数学与系统科学学院,3
B3I09331A,最优化理论与算法(全汉语),学院路校区,刘红英,一般专业类,选修,数学与系统科学学院,3
B3I123510,修辞学导论(英汉双语),学院路校区,钱多秀,一般专业类,选修,外国语学院,2
B3I123520,公众演讲(全英语),学院路校区,Franny Solnic,一般专业类,选修,外国语学院,2
B3I123530,体裁写作(英汉双语),学院路校区,李英梅,一般专业类,选修,外国语学院,2
B3I123550,美国研究(英汉双语),学院路校区,郑 飞,一般专业类,选修,外国语学院,2
B3I123710,英汉交替传译（1）(英汉双语),学院路校区,胥国红,一般专业类,选修,外国语学院,2
B3I123720,汉英交替传译（1）(英汉双语),学院路校区,王 沛,一般专业类,选修,外国语学院,2
B3I123730,计算机辅助翻译(英汉双语),学院路校区,钱多秀,一般专业类,选修,外国语学院,2
B3I123740,英汉语言对比(英汉双语),学院路校区,王义娜,一般专业类,选修,外国语学院,2
B3I123750,翻译概论(英汉双语),学院路校区,文 军,一般专业类,选修,外国语学院,2
B3I123770,文学翻译(英汉双语),学院路校区,彭 予,一般专业类,选修,外国语学院,2
B3I123790,新闻编译 (英汉双语),学院路校区,钱多秀,一般专业类,选修,外国语学院,2
B3I13362B,金属与复合材料力学分析(全汉语),学院路校区,潘 强,一般专业类,选修,交通科学与工程学院,2
B3I13368B,矢量与张量引论(全汉语),学院路校区,张艳来,一般专业类,选修,交通科学与工程学院,2
B3I14361A,安全原理(全汉语),学院路校区,赵廷弟,一般专业类,必修,可靠性与系统工程学院,1.5
B3J013360,金属材料制备原理及工艺(全汉语),学院路校区,蒋成保,一般专业类,选修,材料科学与工程学院,2
B3J013370,无机非金属材料制备原理及工艺(全汉语),学院路校区,张 跃,一般专业类,选修,材料科学与工程学院,2
B3J013380,高分子及复合材料制备基础(全汉语),学院路校区,顾轶卓,一般专业类,选修,材料科学与工程学院,2
