课程编号,课程名,校区,老师,分类,类型,开课学院,学分
50G01030,图像处理(全汉语),学院路校区,游 晖,公共选修课程,选修,宇航学院,1.5
50G01050,西方音乐史与名曲鉴赏(全汉语),学院路校区,李爱华,公共选修课程,选修,人文社会科学学院,1.5
50G01120,中国少数民族的历史、宗教与文化(全汉语),学院路校区,黄建华,公共选修课程,选修,马克思主义学院,1.5
50G01170,CAD与三维设计(全汉语),学院路校区,陈甜甜,公共选修课程,选修,机械工程及自动化学院,1
50G01240,声乐与合唱艺术(全汉语),学院路校区,苏丹娜,公共选修课程,选修,人文社会科学学院,1.5
50G01270,国际商法(全汉语),学院路校区,薄守省|孙新强,公共选修课程,选修,法学院,1.5
B2G010130,清洁生产与可持续发展(全汉语),学院路校区,朱立群|李卫平,一般通识类,选修,材料科学与工程学院,1
B2G020120,航空电子导航(全汉语),学院路校区,赵 昀,一般通识类,选修,电子信息工程学院,1
B2G020150,EDA基础(全汉语),学院路校区,王文光,一般通识类,选修,电子信息工程学院,1
B2G030150,单片机原理及应用(Motorola)(全汉语),学院路校区,张 静,一般通识类,选修,自动化科学与电气工程学院,1.5
B2G030160,DSP原理及应用(全汉语),学院路校区,孙 丹,一般通识类,选修,自动化科学与电气工程学院,2
B2G030230,电子自助实验(全汉语),学院路校区,肖 瑾,一般通识类,选修,自动化科学与电气工程学院,2
B2G030250,基于ARM的现代电子技术实验(全汉语),学院路校区,黄亚玲,一般通识类,选修,自动化科学与电气工程学院,1
B2G030270,嵌入式应用硬件接口电路实验(全汉语),学院路校区,李 莉,一般通识类,选修,自动化科学与电气工程学院,1
B2G030280,可编程控制器(PLC)的工作原理及应用(全汉语),学院路校区,李 可,一般通识类,选修,自动化科学与电气工程学院,1
B2G050120,飞机设计概论(全汉语),学院路校区,周尧明,一般通识类,选修,航空科学与工程学院,1.5
B2G050130,工程流体力学(全汉语),学院路校区,赵小虎,一般通识类,选修,航空科学与工程学院,1
B2G050150,现代战争中的隐身技术(全汉语),学院路校区,姬金祖,一般通识类,选修,航空科学与工程学院,1
B2G050150,现代战争中的隐身技术(全汉语),学院路校区,姬金祖,一般通识类,选修,航空科学与工程学院,1
B2G060130,计算机网络安全技术(全汉语),学院路校区,夏春和,一般通识类,选修,计算机学院,1.5
B2G060230,分布式虚拟环境(全汉语),学院路校区,周 忠,一般通识类,选修,计算机学院,1
B2G060240,CUDA编程与应用(全汉语),学院路校区,李吉刚,一般通识类,选修,计算机学院,1
B2G060260,数字图像工程基础(全汉语),学院路校区,李 波|胡海苗,一般通识类,选修,计算机学院,1
B2G070120,先进制造技术概论(英语授课)(全英语),学院路校区,乔立红,一般通识类,选修,机械工程及自动化学院,2
B2G070220,产品创新设计方法导论(全汉语),学院路校区,魏 巍,一般通识类,选修,机械工程及自动化学院,1
B2G070290,创意创新创业(全汉语),学院路校区,王田苗,一般通识类,选修,机械工程及自动化学院,1
B2G070310,有趣的机构发明(全汉语),学院路校区,于靖军,一般通识类,选修,机械工程及自动化学院,1
B2G110210,舞蹈艺术（1）(全汉语),学院路校区,刘峥洋,一般通识类,选修,人文社会科学学院,1
B2G110250,歌剧欣赏(全汉语),学院路校区,苏丹娜,一般通识类,选修,人文社会科学学院,1
B2G110280,音乐作品分析与欣赏(全汉语),学院路校区,苏丹娜,一般通识类,选修,人文社会科学学院,1
B2G130110,适航概论(全汉语),学院路校区,张曙光|柯 鹏,一般通识类,选修,交通科学与工程学院,1
B2G150110,导弹概论(全汉语),学院路校区,周 韬,一般通识类,选修,宇航学院,1
B2G150210,深空探测导论(全汉语),学院路校区,徐世杰|王 悦,一般通识类,选修,宇航学院,1.5
B2G190120,开放物理实验(全汉语),学院路校区,唐 芳,一般通识类,选修,物理科学与核能工程学院,2
B2G270150,印象北京(全汉语),学院路校区,薛 峰,一般通识类,选修,化学学院,1
B2G280200,沧桑正道：中国共产党与国家治理能力和治理体系现代化(全汉语),学院路校区,马炳涛,一般通识类,选修,马克思主义学院,2
B2G510210,大学生团体心理辅导(全汉语),学院路校区,张 焰,一般通识类,选修,学生处武装部,1
B2G520110,信息检索与网络应用(全汉语),学院路校区,冯花朴,一般通识类,选修,图书馆,1
B2G560130,音乐剧欣赏与表演实践（1）(全汉语),学院路校区,张冉,一般通识类,选修,团委,1
B2G560250,戏剧鉴赏（1）(全汉语),学院路校区,钱晓天,一般通识类,选修,团委,1
B2G560280,职业发展与就业指导（2）(全汉语),学院路校区,陈伟东,一般通识类,选修,招生就业处,1
B2G560280,职业发展与就业指导（2）(全汉语),学院路校区,刘 睿,一般通识类,选修,招生就业处,1
B2G560330,健康常识教育(全汉语),学院路校区,曹丽娟,一般通识类,选修,校医院,1
B2G560370,创业实训（1）(全汉语),学院路校区,董青春,一般通识类,选修,校内其它单位,1
B2G560380,航模技术(初级)(全汉语),学院路校区,孙景桥,一般通识类,选修,校内其它单位,2
