课程编号,课程名,校区,老师,分类,类型,开课学院,学分
B2E333050,体育（5）长跑体能,学院路校区,徐文泉,体育类,必修,体育部,0.5
B2E333050,体育（5）散打2,学院路校区,周若夫,体育类,必修,体育部,0.5
B2E333050,体育（5）软式排球1,学院路校区,王民怡,体育类,必修,体育部,0.5
B2E333050,体育（5）足球1,学院路校区,徐 昆,体育类,必修,体育部,0.5
B2E333050,体育（5）篮球1,学院路校区,邵 山,体育类,必修,体育部,0.5
B2E333050,体育（5）太极拳1,学院路校区,姚建军,体育类,必修,体育部,0.5
B2E333050,体育（5）气排球,学院路校区,黎宇翔,体育类,必修,体育部,0.5
B2E333050,体育（5）长跑体能,学院路校区,徐文泉,体育类,必修,体育部,0.5
B2E333050,体育（5）健美操1,学院路校区,朱志萍,体育类,必修,体育部,0.5
B2E333050,体育（5）足球1,学院路校区,徐 昆,体育类,必修,体育部,0.5
B2E333050,体育（5）篮球1,学院路校区,邵 山,体育类,必修,体育部,0.5
B2E333050,体育（5）篮球1,学院路校区,陈 松,体育类,必修,体育部,0.5
B2E333050,体育（5）软式排球1,学院路校区,王民怡,体育类,必修,体育部,0.5
B2E333050,体育（5）散打2,学院路校区,周若夫,体育类,必修,体育部,0.5
B2E333050,体育（5）太极拳1,学院路校区,姚建军,体育类,必修,体育部,0.5
B2E333050,体育（5）排球2,学院路校区,陆 科,体育类,必修,体育部,0.5
B2E333050,体育（5）气排球,学院路校区,黎宇翔,体育类,必修,体育部,0.5
B2E333050,体育（5）排球1,学院路校区,陆 科,体育类,必修,体育部,0.5
B2E333050,体育（5）散打1,学院路校区,王 震,体育类,必修,体育部,0.5
B2E333050,体育（5）篮球1,学院路校区,陈 松,体育类,必修,体育部,0.5
B2E333050,体育（5）散打1,学院路校区,王 震,体育类,必修,体育部,0.5
B2E333050,体育（5）散打1,学院路校区,王 震,体育类,必修,体育部,0.5
B2E333050,体育（5）散打1,学院路校区,王 震,体育类,必修,体育部,0.5
