课程编号,课程名,校区,老师,分类,类型,开课学院,学分
B1B032110,模拟电子技术基础(全汉语),学院路校区,唐 瑶,工程基础类,必修,自动化科学与电气工程学院,2
B1B032120,数字电子技术基础(全汉语),学院路校区,王建华,工程基础类,必修,自动化科学与电气工程学院,2
B1B033010,微机原理及接口技术(全汉语),学院路校区,李 妮,工程基础类,必修,自动化科学与电气工程院,3
B1B033010,微机原理及接口技术(全汉语),学院路校区,林 新,工程基础类,必修,自动化科学与电气工程院,3
B1B033010,微机原理及接口技术(全汉语),学院路校区,刘 丽,工程基础类,必修,自动化科学与电气工程院,3
B1B033021,电气技术实践（2）（全英文）(全英语),学院路校区,黄亚玲,工程基础类,必修,自动化科学与电气工程学院,2
B1B033021,电气技术实践（2）（全英文）(全英语),学院路校区,黄亚玲,工程基础类,必修,自动化科学与电气工程学院,2
B1B033070,微机原理,学院路校区,刘亚斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,刘亚斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,刘亚斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,刘亚斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,刘亚斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,刘亚斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,刘亚斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,刘亚斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,刘亚斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,袁海斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,袁海斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,袁海斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,袁海斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,袁海斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,袁海斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033070,微机原理,学院路校区,袁海斌|李 可,工程基础类,必修,自动化科学与电气工程学院,2.5
B1B033110,电磁场基础(全汉语),学院路校区,肖春燕|陈兴乐,工程基础类,必修,自动化科学与电气工程学院,3.5
B1B05085A,热工基础B(全汉语),学院路校区,赵竞全,工程基础类,选修,航空科学与工程学院,2
B1B052110,空气动力学A(全汉语),学院路校区,张 华,工程基础类,必修,航空科学与工程学院,5
B1B05317B,空气动力学B（1）(全汉语),学院路校区,刘沛清|郭 昊,工程基础类,必修,航空科学与工程学院,3
B1B073040,机械设计基础A(2)(全汉语),学院路校区,李秀琴,工程基础类,必修,机械工程及自动化学院,3
B1B073040,机械设计基础A(2)(全汉语),学院路校区,杨 洋,工程基础类,必修,机械工程及自动化学院,3
B1B073040,机械设计基础A(2)(全汉语),学院路校区,裴 旭,工程基础类,必修,机械工程及自动化学院,3
B1B073040,机械设计基础A(2)(全汉语),学院路校区,吴 琼,工程基础类,必修,机械工程及自动化学院,3
B1B073060,机械设计基础B(2)(全汉语),学院路校区,陈心颐,工程基础类,必修,机械工程及自动化学院,3
B1B073060,机械设计基础B(2)(全汉语),学院路校区,孙明磊,工程基础类,必修,机械工程及自动化学院,3
B1B073060,机械设计基础B(2)(全汉语),学院路校区,蒋永刚,工程基础类,必修,机械工程及自动化学院,3
B1B073060,机械设计基础B(2)(全汉语),学院路校区,王延忠,工程基础类,必修,机械工程及自动化学院,3
B1B073060,机械设计基础B(2)(全汉语),学院路校区,宁凤艳,工程基础类,必修,机械工程及自动化学院,3
B1B073060,机械设计基础B(2)(全汉语),学院路校区,王之栎|马 纲,工程基础类,必修,机械工程及自动化学院,3
