课程编号,课程名,校区,老师,分类,类型,开课学院,学分
B3I013240,高分子物理(全汉语),学院路校区,杨继萍,核心专业类,必修,材料科学与工程学院,3
B3I013250,电化学原理(全汉语),学院路校区,李松梅,核心专业类,必修,材料科学与工程学院,3
B3I013260,材料物理性能(全汉语),学院路校区,毕晓昉,核心专业类,必修,材料科学与工程学院,3
B3I013270,材料力学性能(全汉语),学院路校区,张 峥|吴素君,核心专业类,必修,材料科学与工程学院,3
B3I013310,材料合成与制备自主综合实验(全汉语),学院路校区,沙江波,核心专业类,必修,材料科学与工程学院,1
B3I013320,材料的组成与结构分析综合实验(全汉语),学院路校区,段辉平,核心专业类,必修,材料科学与工程学院,1
B3I013330,材料的物理和力学性能综合实验(全汉语),学院路校区,毕晓昉,核心专业类,必修,材料科学与工程学院,1
B3I013340,材料的环境作用与电化学综合实验(全汉语),学院路校区,李松梅,核心专业类,必修,材料科学与工程学院,1
B3I013350,材料的工艺成型技术综合实验(全汉语),学院路校区,王 凯,核心专业类,必修,材料科学与工程学院,1
B3I023150,微波技术(全汉语),学院路校区,苗俊刚|叶修竹|王正鹏,核心专业类,必修,电子信息工程学院,3.5
B3I023150,微波技术(全汉语),学院路校区,全绍辉,核心专业类,必修,电子信息工程学院,3.5
B3I023150,微波技术(全汉语),学院路校区,邓 晖,核心专业类,必修,电子信息工程学院,3.5
B3I023150,微波技术(全汉语),学院路校区,许 鼎|白 明|胡岸勇,核心专业类,必修,电子信息工程学院,3.5
B3I023150,微波技术(全汉语),学院路校区,李志平|孙国琳|阮存军,核心专业类,必修,电子信息工程学院,3.5
B3I023160,电子电路（2）(全汉语),学院路校区,刘荣科,核心专业类,必修,电子信息工程学院,3.5
B3I023160,电子电路（2）(全汉语),学院路校区,杨昕欣|孙 桦,核心专业类,必修,电子信息工程学院,3.5
B3I023160,电子电路（2）(全汉语),学院路校区,杨昕欣,核心专业类,必修,电子信息工程学院,3.5
B3I023160,电子电路（2）(全汉语),学院路校区,田亚飞,核心专业类,必修,电子信息工程学院,3.5
B3I023170,数字电路与系统(全汉语),学院路校区,熊华钢|何 锋,核心专业类,必修,电子信息工程学院,3.5
B3I023170,数字电路与系统(全汉语),学院路校区,高 强,核心专业类,必修,电子信息工程学院,3.5
B3I023170,数字电路与系统(全汉语),学院路校区,王 彤,核心专业类,必修,电子信息工程学院,3.5
B3I023170,数字电路与系统(全汉语),学院路校区,李 峭,核心专业类,必修,电子信息工程学院,3.5
B3I023180,数字信号处理(全汉语),学院路校区,王 俊,核心专业类,必修,电子信息工程学院,3.5
B3I023180,数字信号处理(全汉语),学院路校区,万国龙,核心专业类,必修,电子信息工程学院,3.5
B3I023180,数字信号处理(全汉语),学院路校区,孙国良,核心专业类,必修,电子信息工程学院,3.5
B3I023180,数字信号处理(全汉语),学院路校区,高 飞,核心专业类,必修,电子信息工程学院,3.5
B3I023181,数字信号处理（全英文）(全英语),学院路校区,王祖林|田亚飞,核心专业类,必修,电子信息工程学院,3.5
B3I023190,随机过程理论(全汉语),学院路校区,张有光,核心专业类,必修,电子信息工程学院,2
B3I023190,随机过程理论(全汉语),学院路校区,李春升,核心专业类,必修,电子信息工程学院,2
B3I023190,随机过程理论(全汉语),学院路校区,徐华平,核心专业类,必修,电子信息工程学院,2
B3I023190,随机过程理论(全汉语),学院路校区,杨 威,核心专业类,必修,电子信息工程学院,2
B3I023221,自动控制原理（全英文）(全英语),学院路校区,韩圣千,核心专业类,必修,电子信息工程学院,2
B3I023920,综合创新-数字通信(全汉语),学院路校区,王 俊,核心专业类,必修,电子信息工程学院,2
B3I023920,综合创新-数字通信(全汉语),学院路校区,张玉玺,核心专业类,必修,电子信息工程学院,2
B3I023920,综合创新-数字通信(全汉语),学院路校区,刁为民,核心专业类,必修,电子信息工程学院,2
B3I023920,综合创新-数字通信(全汉语),学院路校区,张杰斌,核心专业类,必修,电子信息工程学院,2
B3I023920,综合创新-数字通信(全汉语),学院路校区,哈聪颖,核心专业类,必修,电子信息工程学院,2
